DA_Number,Detail_URL,Description,Submitted_Date,Decision,Categories,Property_Address,Applicant,Progress,Fees,Documents,Contact_Council
DA-2025-0001,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0001,Swimming pool and deck installation,2025-09-02,Pending,Commercial,"45 Bushland Avenue, NOWRA NSW 2541",Sarah Johnson Building Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0002,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0002,Garage and carport development,2025-09-03,Referred,Residential,"78 River Street, SUSSEX INLET NSW 2540",Green Earth Developments,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0003,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0003,Commercial building alterations,2025-09-04,Under Assessment,Commercial,"23 Beach Road, CULBURRA BEACH NSW 2540",Coastal Property Group,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0004,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0004,Dual occupancy development,2025-09-05,Pending,Residential,"56 Mountain Way, BERRY NSW 2535",Mountain View Constructions,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0005,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0005,Demolition of existing structures,2025-09-06,Referred,Commercial,"89 Bay Parade, HUSKISSON NSW 2540",Bay Area Builders,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0006,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0006,Change of use to restaurant,2025-09-07,Under Assessment,Residential,"34 Forest Drive, BOMADERRY NSW 2541",Urban Design Partners,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0007,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0007,Industrial shed construction,2025-09-08,Pending,Commercial,"67 Valley Road, MILTON NSW 2538",Regional Development Corp,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0008,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0008,Retail shop fitout,2025-09-09,Referred,Residential,"91 Hill Street, SANCTUARY POINT NSW 2540",Sustainable Living Pty Ltd,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0009,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0009,Multi-unit housing development,2025-09-10,Under Assessment,Commercial,"15 Creek Lane, WORRIGEE NSW 2540",Heritage Restoration Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0010,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0010,Residential dwelling - New construction,2025-09-11,Pending,Residential,"12 Ocean View Road, ULLADULLA NSW 2539",John Smith & Associates,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0011,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0011,Swimming pool and deck installation,2025-09-12,Referred,Commercial,"45 Bushland Avenue, NOWRA NSW 2541",Sarah Johnson Building Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0012,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0012,Garage and carport development,2025-09-13,Under Assessment,Residential,"78 River Street, SUSSEX INLET NSW 2540",Green Earth Developments,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0013,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0013,Commercial building alterations,2025-09-14,Pending,Commercial,"23 Beach Road, CULBURRA BEACH NSW 2540",Coastal Property Group,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0014,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0014,Dual occupancy development,2025-09-15,Referred,Residential,"56 Mountain Way, BERRY NSW 2535",Mountain View Constructions,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0015,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0015,Demolition of existing structures,2025-09-16,Under Assessment,Commercial,"89 Bay Parade, HUSKISSON NSW 2540",Bay Area Builders,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0016,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0016,Change of use to restaurant,2025-09-17,Pending,Residential,"34 Forest Drive, BOMADERRY NSW 2541",Urban Design Partners,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0017,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0017,Industrial shed construction,2025-09-18,Referred,Commercial,"67 Valley Road, MILTON NSW 2538",Regional Development Corp,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0018,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0018,Retail shop fitout,2025-09-19,Under Assessment,Residential,"91 Hill Street, SANCTUARY POINT NSW 2540",Sustainable Living Pty Ltd,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0019,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0019,Multi-unit housing development,2025-09-20,Pending,Commercial,"15 Creek Lane, WORRIGEE NSW 2540",Heritage Restoration Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0020,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0020,Residential dwelling - New construction,2025-09-01,Referred,Residential,"12 Ocean View Road, ULLADULLA NSW 2539",John Smith & Associates,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0021,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0021,Swimming pool and deck installation,2025-09-02,Under Assessment,Commercial,"45 Bushland Avenue, NOWRA NSW 2541",Sarah Johnson Building Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0022,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0022,Garage and carport development,2025-09-03,Pending,Residential,"78 River Street, SUSSEX INLET NSW 2540",Green Earth Developments,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0023,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0023,Commercial building alterations,2025-09-04,Referred,Commercial,"23 Beach Road, CULBURRA BEACH NSW 2540",Coastal Property Group,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0024,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0024,Dual occupancy development,2025-09-05,Under Assessment,Residential,"56 Mountain Way, BERRY NSW 2535",Mountain View Constructions,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0025,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0025,Demolition of existing structures,2025-09-06,Pending,Commercial,"89 Bay Parade, HUSKISSON NSW 2540",Bay Area Builders,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0026,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0026,Change of use to restaurant,2025-09-07,Referred,Residential,"34 Forest Drive, BOMADERRY NSW 2541",Urban Design Partners,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0027,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0027,Industrial shed construction,2025-09-08,Under Assessment,Commercial,"67 Valley Road, MILTON NSW 2538",Regional Development Corp,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0028,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0028,Retail shop fitout,2025-09-09,Pending,Residential,"91 Hill Street, SANCTUARY POINT NSW 2540",Sustainable Living Pty Ltd,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0029,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0029,Multi-unit housing development,2025-09-10,Referred,Commercial,"15 Creek Lane, WORRIGEE NSW 2540",Heritage Restoration Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0030,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0030,Residential dwelling - New construction,2025-09-11,Under Assessment,Residential,"12 Ocean View Road, ULLADULLA NSW 2539",John Smith & Associates,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0031,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0031,Swimming pool and deck installation,2025-09-12,Pending,Commercial,"45 Bushland Avenue, NOWRA NSW 2541",Sarah Johnson Building Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0032,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0032,Garage and carport development,2025-09-13,Referred,Residential,"78 River Street, SUSSEX INLET NSW 2540",Green Earth Developments,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0033,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0033,Commercial building alterations,2025-09-14,Under Assessment,Commercial,"23 Beach Road, CULBURRA BEACH NSW 2540",Coastal Property Group,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0034,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0034,Dual occupancy development,2025-09-15,Pending,Residential,"56 Mountain Way, BERRY NSW 2535",Mountain View Constructions,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0035,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0035,Demolition of existing structures,2025-09-16,Referred,Commercial,"89 Bay Parade, HUSKISSON NSW 2540",Bay Area Builders,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0036,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0036,Change of use to restaurant,2025-09-17,Under Assessment,Residential,"34 Forest Drive, BOMADERRY NSW 2541",Urban Design Partners,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0037,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0037,Industrial shed construction,2025-09-18,Pending,Commercial,"67 Valley Road, MILTON NSW 2538",Regional Development Corp,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0038,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0038,Retail shop fitout,2025-09-19,Referred,Residential,"91 Hill Street, SANCTUARY POINT NSW 2540",Sustainable Living Pty Ltd,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0039,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0039,Multi-unit housing development,2025-09-20,Under Assessment,Commercial,"15 Creek Lane, WORRIGEE NSW 2540",Heritage Restoration Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0040,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0040,Residential dwelling - New construction,2025-09-01,Pending,Residential,"12 Ocean View Road, ULLADULLA NSW 2539",John Smith & Associates,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0041,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0041,Swimming pool and deck installation,2025-09-02,Referred,Commercial,"45 Bushland Avenue, NOWRA NSW 2541",Sarah Johnson Building Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0042,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0042,Garage and carport development,2025-09-03,Under Assessment,Residential,"78 River Street, SUSSEX INLET NSW 2540",Green Earth Developments,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0043,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0043,Commercial building alterations,2025-09-04,Pending,Commercial,"23 Beach Road, CULBURRA BEACH NSW 2540",Coastal Property Group,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0044,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0044,Dual occupancy development,2025-09-05,Referred,Residential,"56 Mountain Way, BERRY NSW 2535",Mountain View Constructions,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0045,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0045,Demolition of existing structures,2025-09-06,Under Assessment,Commercial,"89 Bay Parade, HUSKISSON NSW 2540",Bay Area Builders,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0046,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0046,Change of use to restaurant,2025-09-07,Pending,Residential,"34 Forest Drive, BOMADERRY NSW 2541",Urban Design Partners,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0047,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0047,Industrial shed construction,2025-09-08,Referred,Commercial,"67 Valley Road, MILTON NSW 2538",Regional Development Corp,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0048,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0048,Retail shop fitout,2025-09-09,Under Assessment,Residential,"91 Hill Street, SANCTUARY POINT NSW 2540",Sustainable Living Pty Ltd,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0049,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0049,Multi-unit housing development,2025-09-10,Pending,Commercial,"15 Creek Lane, WORRIGEE NSW 2540",Heritage Restoration Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0050,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0050,Residential dwelling - New construction,2025-09-11,Referred,Residential,"12 Ocean View Road, ULLADULLA NSW 2539",John Smith & Associates,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0051,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0051,Swimming pool and deck installation,2025-09-12,Under Assessment,Commercial,"45 Bushland Avenue, NOWRA NSW 2541",Sarah Johnson Building Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0052,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0052,Garage and carport development,2025-09-13,Pending,Residential,"78 River Street, SUSSEX INLET NSW 2540",Green Earth Developments,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0053,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0053,Commercial building alterations,2025-09-14,Referred,Commercial,"23 Beach Road, CULBURRA BEACH NSW 2540",Coastal Property Group,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0054,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0054,Dual occupancy development,2025-09-15,Under Assessment,Residential,"56 Mountain Way, BERRY NSW 2535",Mountain View Constructions,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0055,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0055,Demolition of existing structures,2025-09-16,Pending,Commercial,"89 Bay Parade, HUSKISSON NSW 2540",Bay Area Builders,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0056,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0056,Change of use to restaurant,2025-09-17,Referred,Residential,"34 Forest Drive, BOMADERRY NSW 2541",Urban Design Partners,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0057,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0057,Industrial shed construction,2025-09-18,Under Assessment,Commercial,"67 Valley Road, MILTON NSW 2538",Regional Development Corp,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0058,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0058,Retail shop fitout,2025-09-19,Pending,Residential,"91 Hill Street, SANCTUARY POINT NSW 2540",Sustainable Living Pty Ltd,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0059,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0059,Multi-unit housing development,2025-09-20,Referred,Commercial,"15 Creek Lane, WORRIGEE NSW 2540",Heritage Restoration Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0060,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0060,Residential dwelling - New construction,2025-09-01,Under Assessment,Residential,"12 Ocean View Road, ULLADULLA NSW 2539",John Smith & Associates,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0061,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0061,Swimming pool and deck installation,2025-09-02,Pending,Commercial,"45 Bushland Avenue, NOWRA NSW 2541",Sarah Johnson Building Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0062,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0062,Garage and carport development,2025-09-03,Referred,Residential,"78 River Street, SUSSEX INLET NSW 2540",Green Earth Developments,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0063,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0063,Commercial building alterations,2025-09-04,Under Assessment,Commercial,"23 Beach Road, CULBURRA BEACH NSW 2540",Coastal Property Group,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0064,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0064,Dual occupancy development,2025-09-05,Pending,Residential,"56 Mountain Way, BERRY NSW 2535",Mountain View Constructions,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0065,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0065,Demolition of existing structures,2025-09-06,Referred,Commercial,"89 Bay Parade, HUSKISSON NSW 2540",Bay Area Builders,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0066,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0066,Change of use to restaurant,2025-09-07,Under Assessment,Residential,"34 Forest Drive, BOMADERRY NSW 2541",Urban Design Partners,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0067,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0067,Industrial shed construction,2025-09-08,Pending,Commercial,"67 Valley Road, MILTON NSW 2538",Regional Development Corp,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0068,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0068,Retail shop fitout,2025-09-09,Referred,Residential,"91 Hill Street, SANCTUARY POINT NSW 2540",Sustainable Living Pty Ltd,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0069,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0069,Multi-unit housing development,2025-09-10,Under Assessment,Commercial,"15 Creek Lane, WORRIGEE NSW 2540",Heritage Restoration Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0070,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0070,Residential dwelling - New construction,2025-09-11,Pending,Residential,"12 Ocean View Road, ULLADULLA NSW 2539",John Smith & Associates,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0071,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0071,Swimming pool and deck installation,2025-09-12,Referred,Commercial,"45 Bushland Avenue, NOWRA NSW 2541",Sarah Johnson Building Co,Assessment in Progress,Not required,Available on Council portal,Not required
