DA_Number,Detail_URL,Description,Submitted_Date,Decision,Categories,Property_Address,Applicant,Progress,Fees,Documents,Contact_Council
DA-2025-0072,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0072,Garage and carport development,2025-09-13,Under Assessment,Residential,"78 River Street, SUSSEX INLET NSW 2540",Green Earth Developments,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0073,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0073,Commercial building alterations,2025-09-14,Pending,Commercial,"23 Beach Road, CULBURRA BEACH NSW 2540",Coastal Property Group,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0074,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0074,Dual occupancy development,2025-09-15,Referred,Residential,"56 Mountain Way, BERRY NSW 2535",Mountain View Constructions,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0075,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0075,Demolition of existing structures,2025-09-16,Under Assessment,Commercial,"89 Bay Parade, HUSKISSON NSW 2540",Bay Area Builders,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0076,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0076,Change of use to restaurant,2025-09-17,Pending,Residential,"34 Forest Drive, BOMADERRY NSW 2541",Urban Design Partners,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0077,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0077,Industrial shed construction,2025-09-18,Referred,Commercial,"67 Valley Road, MILTON NSW 2538",Regional Development Corp,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0078,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0078,Retail shop fitout,2025-09-19,Under Assessment,Residential,"91 Hill Street, SANCTUARY POINT NSW 2540",Sustainable Living Pty Ltd,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0079,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0079,Multi-unit housing development,2025-09-20,Pending,Commercial,"15 Creek Lane, WORRIGEE NSW 2540",Heritage Restoration Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0080,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0080,Residential dwelling - New construction,2025-09-01,Referred,Residential,"12 Ocean View Road, ULLADULLA NSW 2539",John Smith & Associates,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0081,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0081,Swimming pool and deck installation,2025-09-02,Under Assessment,Commercial,"45 Bushland Avenue, NOWRA NSW 2541",Sarah Johnson Building Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0082,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0082,Garage and carport development,2025-09-03,Pending,Residential,"78 River Street, SUSSEX INLET NSW 2540",Green Earth Developments,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0083,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0083,Commercial building alterations,2025-09-04,Referred,Commercial,"23 Beach Road, CULBURRA BEACH NSW 2540",Coastal Property Group,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0084,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0084,Dual occupancy development,2025-09-05,Under Assessment,Residential,"56 Mountain Way, BERRY NSW 2535",Mountain View Constructions,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0085,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0085,Demolition of existing structures,2025-09-06,Pending,Commercial,"89 Bay Parade, HUSKISSON NSW 2540",Bay Area Builders,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0086,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0086,Change of use to restaurant,2025-09-07,Referred,Residential,"34 Forest Drive, BOMADERRY NSW 2541",Urban Design Partners,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0087,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0087,Industrial shed construction,2025-09-08,Under Assessment,Commercial,"67 Valley Road, MILTON NSW 2538",Regional Development Corp,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0088,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0088,Retail shop fitout,2025-09-09,Pending,Residential,"91 Hill Street, SANCTUARY POINT NSW 2540",Sustainable Living Pty Ltd,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0089,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0089,Multi-unit housing development,2025-09-10,Referred,Commercial,"15 Creek Lane, WORRIGEE NSW 2540",Heritage Restoration Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0090,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0090,Residential dwelling - New construction,2025-09-11,Under Assessment,Residential,"12 Ocean View Road, ULLADULLA NSW 2539",John Smith & Associates,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0091,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0091,Swimming pool and deck installation,2025-09-12,Pending,Commercial,"45 Bushland Avenue, NOWRA NSW 2541",Sarah Johnson Building Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0092,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0092,Garage and carport development,2025-09-13,Referred,Residential,"78 River Street, SUSSEX INLET NSW 2540",Green Earth Developments,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0093,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0093,Commercial building alterations,2025-09-14,Under Assessment,Commercial,"23 Beach Road, CULBURRA BEACH NSW 2540",Coastal Property Group,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0094,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0094,Dual occupancy development,2025-09-15,Pending,Residential,"56 Mountain Way, BERRY NSW 2535",Mountain View Constructions,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0095,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0095,Demolition of existing structures,2025-09-16,Referred,Commercial,"89 Bay Parade, HUSKISSON NSW 2540",Bay Area Builders,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0096,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0096,Change of use to restaurant,2025-09-17,Under Assessment,Residential,"34 Forest Drive, BOMADERRY NSW 2541",Urban Design Partners,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0097,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0097,Industrial shed construction,2025-09-18,Pending,Commercial,"67 Valley Road, MILTON NSW 2538",Regional Development Corp,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0098,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0098,Retail shop fitout,2025-09-19,Referred,Residential,"91 Hill Street, SANCTUARY POINT NSW 2540",Sustainable Living Pty Ltd,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0099,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0099,Multi-unit housing development,2025-09-20,Under Assessment,Commercial,"15 Creek Lane, WORRIGEE NSW 2540",Heritage Restoration Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0100,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0100,Residential dwelling - New construction,2025-09-01,Pending,Residential,"12 Ocean View Road, ULLADULLA NSW 2539",John Smith & Associates,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0101,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0101,Swimming pool and deck installation,2025-09-02,Referred,Commercial,"45 Bushland Avenue, NOWRA NSW 2541",Sarah Johnson Building Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0102,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0102,Garage and carport development,2025-09-03,Under Assessment,Residential,"78 River Street, SUSSEX INLET NSW 2540",Green Earth Developments,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0103,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0103,Commercial building alterations,2025-09-04,Pending,Commercial,"23 Beach Road, CULBURRA BEACH NSW 2540",Coastal Property Group,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0104,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0104,Dual occupancy development,2025-09-05,Referred,Residential,"56 Mountain Way, BERRY NSW 2535",Mountain View Constructions,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0105,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0105,Demolition of existing structures,2025-09-06,Under Assessment,Commercial,"89 Bay Parade, HUSKISSON NSW 2540",Bay Area Builders,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0106,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0106,Change of use to restaurant,2025-09-07,Pending,Residential,"34 Forest Drive, BOMADERRY NSW 2541",Urban Design Partners,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0107,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0107,Industrial shed construction,2025-09-08,Referred,Commercial,"67 Valley Road, MILTON NSW 2538",Regional Development Corp,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0108,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0108,Retail shop fitout,2025-09-09,Under Assessment,Residential,"91 Hill Street, SANCTUARY POINT NSW 2540",Sustainable Living Pty Ltd,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0109,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0109,Multi-unit housing development,2025-09-10,Pending,Commercial,"15 Creek Lane, WORRIGEE NSW 2540",Heritage Restoration Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0110,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0110,Residential dwelling - New construction,2025-09-11,Referred,Residential,"12 Ocean View Road, ULLADULLA NSW 2539",John Smith & Associates,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0111,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0111,Swimming pool and deck installation,2025-09-12,Under Assessment,Commercial,"45 Bushland Avenue, NOWRA NSW 2541",Sarah Johnson Building Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0112,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0112,Garage and carport development,2025-09-13,Pending,Residential,"78 River Street, SUSSEX INLET NSW 2540",Green Earth Developments,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0113,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0113,Commercial building alterations,2025-09-14,Referred,Commercial,"23 Beach Road, CULBURRA BEACH NSW 2540",Coastal Property Group,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0114,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0114,Dual occupancy development,2025-09-15,Under Assessment,Residential,"56 Mountain Way, BERRY NSW 2535",Mountain View Constructions,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0115,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0115,Demolition of existing structures,2025-09-16,Pending,Commercial,"89 Bay Parade, HUSKISSON NSW 2540",Bay Area Builders,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0116,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0116,Change of use to restaurant,2025-09-17,Referred,Residential,"34 Forest Drive, BOMADERRY NSW 2541",Urban Design Partners,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0117,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0117,Industrial shed construction,2025-09-18,Under Assessment,Commercial,"67 Valley Road, MILTON NSW 2538",Regional Development Corp,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0118,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0118,Retail shop fitout,2025-09-19,Pending,Residential,"91 Hill Street, SANCTUARY POINT NSW 2540",Sustainable Living Pty Ltd,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0119,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0119,Multi-unit housing development,2025-09-20,Referred,Commercial,"15 Creek Lane, WORRIGEE NSW 2540",Heritage Restoration Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0120,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0120,Residential dwelling - New construction,2025-09-01,Under Assessment,Residential,"12 Ocean View Road, ULLADULLA NSW 2539",John Smith & Associates,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0121,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0121,Swimming pool and deck installation,2025-09-02,Pending,Commercial,"45 Bushland Avenue, NOWRA NSW 2541",Sarah Johnson Building Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0122,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0122,Garage and carport development,2025-09-03,Referred,Residential,"78 River Street, SUSSEX INLET NSW 2540",Green Earth Developments,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0123,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0123,Commercial building alterations,2025-09-04,Under Assessment,Commercial,"23 Beach Road, CULBURRA BEACH NSW 2540",Coastal Property Group,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0124,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0124,Dual occupancy development,2025-09-05,Pending,Residential,"56 Mountain Way, BERRY NSW 2535",Mountain View Constructions,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0125,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0125,Demolition of existing structures,2025-09-06,Referred,Commercial,"89 Bay Parade, HUSKISSON NSW 2540",Bay Area Builders,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0126,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0126,Change of use to restaurant,2025-09-07,Under Assessment,Residential,"34 Forest Drive, BOMADERRY NSW 2541",Urban Design Partners,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0127,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0127,Industrial shed construction,2025-09-08,Pending,Commercial,"67 Valley Road, MILTON NSW 2538",Regional Development Corp,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0128,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0128,Retail shop fitout,2025-09-09,Referred,Residential,"91 Hill Street, SANCTUARY POINT NSW 2540",Sustainable Living Pty Ltd,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0129,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0129,Multi-unit housing development,2025-09-10,Under Assessment,Commercial,"15 Creek Lane, WORRIGEE NSW 2540",Heritage Restoration Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0130,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0130,Residential dwelling - New construction,2025-09-11,Pending,Residential,"12 Ocean View Road, ULLADULLA NSW 2539",John Smith & Associates,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0131,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0131,Swimming pool and deck installation,2025-09-12,Referred,Commercial,"45 Bushland Avenue, NOWRA NSW 2541",Sarah Johnson Building Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0132,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0132,Garage and carport development,2025-09-13,Under Assessment,Residential,"78 River Street, SUSSEX INLET NSW 2540",Green Earth Developments,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0133,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0133,Commercial building alterations,2025-09-14,Pending,Commercial,"23 Beach Road, CULBURRA BEACH NSW 2540",Coastal Property Group,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0134,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0134,Dual occupancy development,2025-09-15,Referred,Residential,"56 Mountain Way, BERRY NSW 2535",Mountain View Constructions,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0135,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0135,Demolition of existing structures,2025-09-16,Under Assessment,Commercial,"89 Bay Parade, HUSKISSON NSW 2540",Bay Area Builders,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0136,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0136,Change of use to restaurant,2025-09-17,Pending,Residential,"34 Forest Drive, BOMADERRY NSW 2541",Urban Design Partners,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0137,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0137,Industrial shed construction,2025-09-18,Referred,Commercial,"67 Valley Road, MILTON NSW 2538",Regional Development Corp,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0138,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0138,Retail shop fitout,2025-09-19,Under Assessment,Residential,"91 Hill Street, SANCTUARY POINT NSW 2540",Sustainable Living Pty Ltd,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0139,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0139,Multi-unit housing development,2025-09-20,Pending,Commercial,"15 Creek Lane, WORRIGEE NSW 2540",Heritage Restoration Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0140,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0140,Residential dwelling - New construction,2025-09-01,Referred,Residential,"12 Ocean View Road, ULLADULLA NSW 2539",John Smith & Associates,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0141,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0141,Swimming pool and deck installation,2025-09-02,Under Assessment,Commercial,"45 Bushland Avenue, NOWRA NSW 2541",Sarah Johnson Building Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0142,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0142,Garage and carport development,2025-09-03,Pending,Residential,"78 River Street, SUSSEX INLET NSW 2540",Green Earth Developments,Assessment in Progress,Not required,Available on Council portal,Not required
